,cohens_d,abs_cohens_d,p_value_welch,p_value_fdr_bh,significant_fdr_0.05
var_81,-0.27002335,0.27002335,4.08775235466127e-229,8.17550470932254e-227,True
var_139,-0.2470741,0.2470741,1.0474476641751088e-204,1.0474476641751087e-202,True
var_12,-0.2316882,0.2316882,7.74211138775733e-178,5.16140759183822e-176,True
var_6,0.22244775,0.22244775,1.6592700833157818e-172,8.29635041657891e-171,True
var_110,0.21422844,0.21422844,7.155994616484401e-155,2.8623978465937603e-153,True
var_53,0.21129392,0.21129392,2.6056806734992265e-153,8.685602244997422e-152,True
var_146,-0.21211527,0.21211527,4.228499129715488e-153,1.2081426084901394e-151,True
var_76,-0.20633884,0.20633884,4.379468503166146e-148,1.0948671257915366e-146,True
var_174,-0.20550789,0.20550789,4.7804369764217656e-147,1.0623193280937257e-145,True
var_26,0.2080271,0.2080271,1.16448341443072e-145,2.3289668288614398e-144,True
var_22,0.20179282,0.20179282,6.581308188785131e-140,1.1966014888700237e-138,True
var_21,-0.19485223,0.19485223,1.8752662972198825e-137,3.125443828699804e-136,True
var_99,0.19446518,0.19446518,2.0923155790363507e-131,3.218947044671309e-130,True
var_166,-0.19247949,0.19247949,8.36917427404341e-130,1.1955963248633442e-128,True
var_80,-0.19193283,0.19193283,4.6879712691237016e-126,6.250628358831602e-125,True
var_190,0.18646473,0.18646473,2.8581745355415394e-124,3.572718169426924e-123,True
var_165,-0.18566398,0.18566398,2.4095865463376648e-123,2.8348077015737235e-122,True
var_13,-0.18373428,0.18373428,3.146611923851131e-121,3.496235470945701e-120,True
var_2,0.18612011,0.18612011,7.86054904871438e-120,8.274262156541452e-119,True
var_148,-0.18325104,0.18325104,4.192053021547129e-118,4.192053021547129e-117,True
var_133,0.18170264,0.18170264,1.055556565644549e-115,1.0052919672805227e-114,True
var_34,-0.17550285,0.17550285,2.675240338399281e-114,2.432036671272074e-113,True
var_198,-0.17652953,0.17652953,1.2699078775092967e-107,1.1042677195733015e-106,True
var_0,0.1744917,0.1744917,9.48735930525738e-106,7.906132754381149e-105,True
var_1,0.1676564,0.1676564,1.8402603179533504e-103,1.4722082543626803e-102,True
var_115,-0.16709432,0.16709432,2.154243637725681e-102,1.657110490558216e-101,True
var_109,-0.16626509,0.16626509,7.320424382621122e-100,5.4225365797193495e-99,True
var_40,0.1649442,0.1649442,3.756505469122788e-98,2.683218192230563e-97,True
var_169,-0.16111183,0.16111183,5.575675358795742e-97,3.845293350893615e-96,True
var_184,0.16088925,0.16088925,1.1777883179061442e-95,7.851922119374295e-95,True
var_78,0.16065264,0.16065264,3.226063534103499e-95,2.081331312324838e-94,True
var_179,0.16651836,0.16651836,7.27602647094388e-95,4.547516544339925e-94,True
var_149,-0.15756376,0.15756376,1.0620394343248637e-94,6.436602632271901e-94,True
var_44,-0.16330566,0.16330566,2.248666900111148e-91,1.3227452353594988e-90,True
var_170,0.1597455,0.1597455,2.5883781434933804e-91,1.4790732248533602e-90,True
var_92,-0.15414739,0.15414739,1.2677016079312367e-88,7.042786710729093e-88,True
var_191,0.15687826,0.15687826,5.313752923090121e-88,2.8722988773460115e-87,True
var_94,0.15414922,0.15414922,1.3314074035008076e-87,7.007407386846356e-87,True
var_154,-0.15351605,0.15351605,2.0879535171449313e-86,1.0707453934076572e-85,True
var_67,0.14873615,0.14873615,1.5747956620077294e-83,7.873978310038648e-83,True
var_33,-0.14760368,0.14760368,2.511309292399241e-82,1.225028923121581e-81,True
var_192,-0.14268176,0.14268176,6.413128535743834e-81,3.0538707313065872e-80,True
var_108,-0.14913864,0.14913864,7.475497277224673e-81,3.476975477778918e-80,True
var_18,0.14475197,0.14475197,7.0648850588275e-78,3.2113113903761366e-77,True
var_9,-0.14250539,0.14250539,2.2166055659327774e-76,9.851580293034566e-76,True
var_122,-0.14135662,0.14135662,6.043279962309466e-75,2.6275130270910726e-74,True
var_173,0.13989313,0.13989313,1.1435713460771735e-74,4.8662610471369086e-74,True
var_164,0.13647333,0.13647333,3.845237413840885e-70,1.6021822557670355e-69,True
var_118,0.13434312,0.13434312,1.450046140511892e-69,5.918555675558743e-69,True
var_107,-0.13313991,0.13313991,2.0299294214301686e-68,8.119717685720674e-68,True
var_121,-0.13244395,0.13244395,1.933483639161964e-67,7.58228878102731e-67,True
var_147,0.13408199,0.13408199,3.357814578265831e-67,1.2914671454868582e-66,True
var_91,0.13357359,0.13357359,1.0185444095956748e-66,3.843563809794999e-66,True
var_123,-0.13412139,0.13412139,2.836964504075946e-65,1.0507275941022021e-64,True
var_127,-0.13023238,0.13023238,4.088464701877915e-65,1.4867144370465144e-64,True
var_89,0.1310449,0.1310449,1.122865921391719e-63,4.0102354335418534e-63,True
var_36,-0.12780467,0.12780467,8.340212545497985e-63,2.926390366841398e-62,True
var_86,-0.1302369,0.1302369,3.9833425226290206e-61,1.3735663871134551e-60,True
var_172,-0.12640396,0.12640396,9.28050761155089e-61,3.1459347835765727e-60,True
var_95,0.12825118,0.12825118,1.939996049049366e-60,6.46665349683122e-60,True
var_75,-0.12675269,0.12675269,7.436590778307148e-60,2.4382264846908683e-59,True
var_177,-0.122693375,0.122693375,3.27689215740095e-58,1.0570619862583709e-57,True
var_155,0.12394773,0.12394773,2.269859207837839e-57,7.20590224710425e-57,True
var_35,0.121707015,0.121707015,5.534849133107386e-57,1.7296403540960581e-56,True
var_87,-0.11935105,0.11935105,1.7560029142163884e-55,5.4030858898965795e-55,True
var_197,-0.11749499,0.11749499,8.326977976272671e-53,2.523326659476567e-52,True
var_56,-0.116482586,0.116482586,4.352519176966332e-51,1.2992594558108453e-50,True
var_93,-0.11671531,0.11671531,2.86249086845739e-50,8.4190907895805585e-50,True
var_71,0.11184144,0.11184144,2.6118433419782897e-49,7.570560411531275e-49,True
var_188,-0.11320048,0.11320048,1.3270889203874323e-48,3.791682629678378e-48,True
var_48,0.10760318,0.10760318,2.6303391978883184e-46,7.4094061912347e-46,True
var_106,0.109643556,0.109643556,7.074208136066548e-46,1.965057815574041e-45,True
var_131,-0.10775603,0.10775603,2.349131924684582e-45,6.435977875848171e-45,True
var_162,0.10864498,0.10864498,2.92718561504254e-45,7.911312473087946e-45,True
var_157,0.10862959,0.10862959,3.003719895181655e-44,8.009919720484413e-44,True
var_163,0.10586055,0.10586055,6.956954683901897e-42,1.830777548395236e-41,True
var_145,0.1028802,0.1028802,4.1315704050241955e-41,1.0731351701361547e-40,True
var_180,0.10379249,0.10379249,5.21131868460154e-41,1.3362355601542412e-40,True
var_186,-0.10122951,0.10122951,5.30407940930209e-41,1.3428049137473645e-40,True
var_5,0.103087,0.103087,5.3776542087383e-41,1.344413552184575e-40,True
var_167,0.102481246,0.102481246,6.522407735013555e-41,1.6104710456823592e-40,True
var_49,0.10186452,0.10186452,1.1372475480790266e-40,2.773774507509821e-40,True
var_32,0.10153713,0.10153713,1.5412321117976805e-40,3.7138123175847726e-40,True
var_119,0.1030754,0.1030754,2.5002002546985953e-40,5.952857749282369e-40,True
var_90,0.09781417,0.09781417,1.3092040351835866e-38,3.08048008278491e-38,True
var_130,0.09955224,0.09955224,3.0926703551916195e-38,7.19225663998051e-38,True
var_141,-0.09883152,0.09883152,4.332267737695861e-38,9.959236178611174e-38,True
var_24,0.094756626,0.094756626,4.441591709591839e-36,1.0094526612708726e-35,True
var_43,-0.095021084,0.095021084,1.8436590349623854e-35,4.143054011151428e-35,True
var_195,0.09411446,0.09411446,3.09928536262549e-34,6.887300805834423e-34,True
var_125,0.09391156,0.09391156,3.648282685554673e-34,8.018203704515765e-34,True
var_52,0.09234637,0.09234637,6.873132208714375e-34,1.4941591758074729e-33,True
var_135,0.09298125,0.09298125,1.5091997680164185e-33,3.2455908989600396e-33,True
var_137,0.0904687,0.0904687,4.719146354394341e-33,1.0040736924243279e-32,True
var_151,0.091583386,0.091583386,9.069914033961573e-33,1.9094555860971733e-32,True
var_70,0.088996865,0.088996865,2.0172090447864554e-32,4.202518843305115e-32,True
var_128,0.089533985,0.089533985,2.0687605961198383e-32,4.265485765195543e-32,True
var_104,-0.08852279,0.08852279,2.8012627103769434e-32,5.71686267423866e-32,True
var_111,0.08879265,0.08879265,7.297009432211947e-31,1.4741433196387771e-30,True
var_31,-0.085238464,0.085238464,1.9239946602539133e-30,3.847989320507827e-30,True
var_114,-0.08739372,0.08739372,3.4263866406131904e-30,6.784924040818199e-30,True
var_199,0.08462462,0.08462462,6.454070375103631e-30,1.2655039951183591e-29,True
var_150,-0.085912466,0.085912466,8.6308032118772e-30,1.675884118811107e-29,True
var_51,0.086482346,0.086482346,3.056543067169139e-29,5.877967436863729e-29,True
var_23,-0.08475314,0.08475314,3.2449664364980975e-29,6.180888450472567e-29,True
var_105,0.08518824,0.08518824,6.370724776253804e-29,1.202023542689397e-28,True
var_85,-0.081555694,0.081555694,2.4046962859208284e-27,4.494759412936127e-27,True
var_132,-0.081549,0.081549,1.6030476855598518e-26,2.968606825110837e-26,True
var_58,-0.080769904,0.080769904,3.091493090615189e-26,5.672464386449888e-26,True
var_112,0.07883073,0.07883073,7.504426716930566e-26,1.364441221260103e-25,True
var_28,-0.07965728,0.07965728,1.329521399244982e-25,2.3955340526936613e-25,True
var_196,0.07854344,0.07854344,3.290525224430828e-25,5.875937900769336e-25,True
var_116,-0.07801037,0.07801037,3.452842974977374e-25,6.1112265043847325e-25,True
var_66,0.07690134,0.07690134,3.4084999672598654e-24,5.979824503964677e-24,True
var_11,0.0764976,0.0764976,5.416562220396292e-24,9.420108209384857e-24,True
var_194,-0.0759805,0.0759805,1.0375054271285824e-23,1.7888024605665214e-23,True
var_82,0.075102374,0.075102374,1.9782500416001423e-23,3.381624002735286e-23,True
var_175,0.07216541,0.07216541,2.6364185341395e-21,4.46850599006695e-21,True
var_144,0.07055691,0.07055691,1.1988698617153926e-20,2.0149073306141053e-20,True
var_156,-0.06985287,0.06985287,1.5706313320432784e-20,2.6177188867387974e-20,True
var_88,-0.06878966,0.06878966,1.7737032016089277e-19,2.931740829105666e-19,True
var_83,-0.068292245,0.068292245,3.1679828977586513e-19,5.193414586489592e-19,True
var_45,-0.06675191,0.06675191,3.334271289334129e-19,5.421579332250617e-19,True
var_74,0.06628788,0.06628788,7.64903764007057e-19,1.233715748398479e-18,True
